Title,Title_URL,Image,text_text_cg3pf,text_text_cg3pf1,User,typography_typography_exx2d,typography_typography_exx2d2
AI for social media: Everything you need to know,https://www.notion.so/blog/ai-for-social-media,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2MolDdpCRw9YWjAx2kkONJ/d5289acf4bf03ec2c2e30629e99b2742/notion-ai-social-media-bio-ideas-template.png",For Teams,"Discover the benefits of using AI for social media and find the best tools and templates to plan, schedule, and optimize your social media strategy.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Get inspired with these 10 mission statement examples,https://www.notion.so/blog/mission-statement-examples,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/JJgWt6sQdEOdKYx76GHzL/ecca04c7b610f12f684dc4218022d6db/notion-mission-and-vision-template.png",For Teams,Your mission defines who and what your company stands for. These mission statement examples will help you write the most engaging one possible.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How the critical path method keeps your project on target and on time,https://www.notion.so/blog/critical-path,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2YPwN1kx4Rx1po1G5Z9knB/be3797a52909439db60f4f66478e840c/Captura_de_pantalla_2023-09-15_a_la_s__12.45.46.png",For Teams,The critical path is the longest uninterrupted line of tasks that must be completed for a project to be successful. Here’s how to find it.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Tactical versus strategic planning: using both for initiative success,https://www.notion.so/blog/tactical-vs-strategic,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4dlNnvNr21UCwMxempZYoI/fea2444bb09f6f193d41c20c141b9586/Captura_de_pantalla_2023-09-15_a_la_s__15.38.36.png",For Teams,Learn about the difference between tactical versus strategic planning and how these approaches work hand-in-hand to help you achieve initiative success.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
"What’s a steering committee, and should you create one?",https://www.notion.so/blog/what-is-a-steering-committee,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7w7yy6oPKiRNwrd1aDhenk/7ebba283960b6aa17dc19a5ce66f9791/Image_15-09-2023_at_15.08.jpeg",For Teams,"Learn what a steering committee is, who it should comprise, and what type of work it does. Find out how to hold an excellent committee meeting.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Business continuity plan: Your ally in a crisis,https://www.notion.so/blog/business-continuity-plan,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1GY8Dls4ufN9iDGK9IX1sz/a8aef98e456c60f1d9051b54c24514e8/Captura_de_pantalla_2023-09-15_a_la_s__16.23.24.png",For Teams,"Learn what a business continuity plan is, different types, and why you need one. Here’s how to write a plan that always has your back.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Leverage an AI task manager for more efficient work,https://www.notion.so/blog/ai-task-manager,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/11Ae4RuFzpOP0bQW5405BD/9fc016290606cb3463e6d36757e654bc/notion-ai-tool-example.png",For Teams,Struggle to keep on top of your responsibilities? Learn how an AI task manager can help you work more efficiently and why this tool is unique.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
The game-changing impact of AI on project management,https://www.notion.so/blog/ai-project-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4JkHF3k01MeYXm7oTaB0Tn/a2c7075d8e81858fcadb423d91462550/Captura_de_pantalla_2023-09-12_a_la_s__14.31.22.png",For Teams,"Learn the benefits of AI for project management and find the best AI tools to automate, manage, and optimize your project management workflow.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Create a crisis management plan in 6 steps,https://www.notion.so/blog/crisis-management-plan,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4lCn2PyoCnb6Y75mglBCfU/20dc6addae3bbf9822ee48d55118879d/Image_12-09-2023_at_12.29.jpeg",For Teams,"Crises arrive unannounced, but there are strategies you can use to mitigate their impact. Create a crisis management plan to get through difficult times.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Find the right IT project management approach for your team,https://www.notion.so/blog/it-project-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3Mz5t7MxCiFLPFv0SnNhjB/bbb8cdbc6f28e204e246edce63c454f7/project-charter-template-for-it-project-management.png",For Teams,Optimize your project cycles with the right IT project management approach. We explain how to find a methodology to help your team reach their full potential.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Learn to enhance your writing with AI tools,https://www.notion.so/blog/enhance-your-writing-with-ai,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6PbIkeEt6wTAng65PowuR9/0c0277c257aa1c0941b954f05312c540/notion-ai-email-generator.png",For Teams,"Learn how to enhance your writing with AI tools, the pros and cons of using AI for writing, and how AI can make you a better editor.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
9 project plan templates that’ll keep your team on track,https://www.notion.so/blog/project-plan-templates,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5RrX36r1xtoROKbzolMA0I/ca46177d4b460d62c93c32867004a906/Image_05-09-2023_at_17.26.jpeg",For Teams,Learn how using a project plan template can help you set the scope and budget of your next project and organize deliverables and tasks.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Leverage AI note-taking tools to host more efficient meetings,https://www.notion.so/blog/ai-note-taking,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/sN5sY45ZQ2Ztnr3n0Y1wo/1fed0d3de28bf40b8edd74b93dc694c2/meeting-notes-from-agenda-w-notion-ai-angela-pmp-csm-desktop.png",For Teams,Discover various features and benefits of AI note-taking and learn how to leverage AI-powered tools to hold more efficient meetings.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
6 org chart templates to create visibility and boost productivity,https://www.notion.so/blog/org-chart-templates,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/yZWsKOwXdYCLpgdALUPyX/a0af0b655441277cd8e41962472115e1/lemtli-notion-site-notion-org-chart-template-c683aed8ebe94068bc6b6d40ee51d251-automated-desktop.png",For Teams,Find the right organizational chart for your team to boost productivity and collaboration. Streamline each project with these six org chart templates.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Achieving operational excellence: What’s Lean Six Sigma?,https://www.notion.so/blog/what-is-lean-six-sigma,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/jSmVWjGItwAk9qPm2FSgP/eff78d8dd92e3ad895e6412f37af00c0/agile_project_management.png",For Teams,Learn what Lean Six Sigma is and whether this quality management system is right for your team. Explore other methods you could use to promote continuous improvement.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Run smoother projects with Agile sprints,https://www.notion.so/blog/agile-sprint,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6rEFlYHCtbNbEpwQ57Uj4v/d23e2d5f12a42d8eebd08fbc67561bab/Screen_Shot_2021-12-15_at_5.12.57_PM.png",For Teams,"Learn what Agile sprints are, how to plan them, and the benefits of using them. Explore key terms and best practices for this aspect of project planning.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to create an effective scope of work in 9 steps,https://www.notion.so/blog/scope-of-work,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2XfDtTuFRNPSnao0FMcn0O/0f9db125f42a4f7d28131bd1cd6b9bd2/Highlight-1.jpg",For Teams,Learn how a scope of work can help you successfully complete a project. Discover how Notion’s templates help you get the job done right.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Score your next role with a powerful cover letter,https://www.notion.so/blog/cover-letter,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7aPuEhG1w4Mee74sUAI6wU/db4106a788af7722b9f0759c3297e75a/resume-cover-letter-notion-kit-nagaraj-desktop.png",For Teams,"Learn what a cover letter is, what to include, and how to write one. Explore best practices and considerations to make before you write. ","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
6 steps for writing a stellar team charter,https://www.notion.so/blog/team-charter,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/65wBVy9mFM5spSRoi09MrX/d523c8526927b3a5770c0dd146c539e0/Screen_Shot_2021-11-29_at_5.41.26_PM.png",For Teams,"A team charter is a document that outlines your team’s mission and focus, keeping them on track and aligned with company goals.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
What’s Scrum? Understanding Agile project management,https://www.notion.so/blog/what-is-Scrum,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1Uq12MEjJEbtfkEkoikLFj/5e20dfa1973496497cc61c290342ee6f/scrum-board-amatei-desktop.png",For Teams,"What’s Scrum? Learn about its methodology, benefits, and how Notion’s free templates help you achieve excellent project-based teamwork and productivity.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
How to successfully set stretch goals in the workplace,https://www.notion.so/blog/stretch-goals,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5xVwpolaEUZfP5gknd0rZX/71fdd3efdd97a3bccfe0e41d768851e7/company-goals-virtual-inspiration-desktop.png",For Teams,Learn why stretch goals can be important for enhancing performance and boosting profits. Use Notion’s free templates to create effective stretch goals.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Create an action plan to drive business success in 5 steps,https://www.notion.so/blog/action-plan,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2tGuLxyYRvBf4KxtIIPjRq/564306ba4b4235c0d08988125ead06d7/Desktop-Hero.png",For Teams,"Learn the definition of an action plan, its purpose, and all of its components. Implement your very own action plan using Notion and our free templates.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Digital marketing strategy examples to guide your work,https://www.notion.so/blog/digital-marketing-strategy-example,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3aF4FWlfmaSLpRZydAGo0n/358cd3f5863e97152e37bbb88a20933a/marketing_strategy.png",For Teams,"Learn how to create a digital marketing strategy with examples from top brands. Plus, discover the different types of virtual advertisements. ","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to create a professional development plan that delivers results,https://www.notion.so/blog/development-plan,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6ppC7zXfNZzqgvXpMluCyo/2edebe7ed378fb629063297abe805b47/Hero.jpg",For Teams,Learn how to create a stellar professional development plan and become a more efficient employee. Here’s everything you need to know. ,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to create a clear and effective communication plan,https://www.notion.so/blog/communication-plan,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/20HWeFSLTGgXmsIeOYGVpv/8640b996ebee4add70cc75ec08868e05/communication-plan-cj-bondeson-desktop.png",For Teams,"Learn why you need a communication plan, what to include, and how to create one with our step-by-step guide. Plus, visualize a plan using our example.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Goal versus objective: Driving success together,https://www.notion.so/blog/goal-vs-objective,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2mD16iCCvH6VpvbTbvwFpA/2a465a7f8be004fd65e11914a30366cd/Highlight-1.jpg",For Teams,Learn the difference between goals versus objectives and how to use each concept to guide successful projects and help your team grow. ,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Why your business needs a marketing management plan,https://www.notion.so/blog/marketing-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6lrg68lx80eyrEQoHy1qCH/7af2ac729a97ee84365205019254cdcc/marketing-strategy-and-planning-theren-moodley-desktop.png",For Teams,"Learn what marketing management is, the different types, and how this concept benefits your business. Here’s how it works and how to create a plan. ","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Everything you need to know about proper resource management,https://www.notion.so/blog/resources-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4kh6f7ENSZGv6sfwlp2xTa/28f719d53f1263e9d022a0b89e8be4e7/project-resource-management-template-road-desktop.png",For Teams,"Learn what resource management is, the different areas to consider, and what can go wrong when you don’t allocate project assets correctly. ","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Agile versus Waterfall: Which is best for your team?,https://www.notion.so/blog/agile-vs-waterfall,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/jSmVWjGItwAk9qPm2FSgP/eff78d8dd92e3ad895e6412f37af00c0/agile_project_management.png",For Teams,"Learn the differences between Agile versus Waterfall project planning methods, plus find out which is best for your work and how to combine techniques.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to write an effective letter of interest,https://www.notion.so/blog/letter-of-interest,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/37l68kEmTNenAPOhwdzLAm/c9528e00fe57a3dd6b022ba0e8cd0e60/resumes-cv-cover-letter-portfolio-template-triz-desktop.png",For Teams,"Learn what a letter of interest is, when to write one, and what to include. Here’s how to find and land a job at your dream company.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
How the 80/20 rule can change how you prioritize tasks,https://www.notion.so/blog/80-20-rule,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1wVMfTRGuUQiiuRGwYbczP/78b179d75ee0828cc881db3f26143b90/pink-time-management-template-rainy-desktop.png",For Teams,Learn how the 80/20 rule can help your team become more productive. Find out how to apply this principle to prioritize tasks and boost efficiency. ,,,
How to write a newsletter that drives connections,https://www.notion.so/blog/how-to-write-a-newsletter,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3oMrT6NUB13uWXBsbhzcf5/355db5dec3eb43ccc6f74cc4aa0975c0/Screen_Shot_2021-08-16_at_4.29.54_PM.png",For Teams,"Learn how to write a newsletter, what to include, and why this marketing medium is so important. Boost your letter’s success with our best practices. ","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Achieve more with the management by objectives model,https://www.notion.so/blog/management-by-objectives,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/30HXVXl4go62s5XpsfUd8a/4e74138b4f7ec39b27e75b0723105cae/objectives-key-results-tracker-screenshot-2-notion-desktop.png",For Teams,Find out what the management by objectives (MBO) model entails and the pros and cons of using it. Learn how to implement MBO in five steps. ,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
Use a work breakdown structure to level up project planning ,https://www.notion.so/blog/work-breakdown-structure,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5SDizC8PI2EfijQPtIvIQu/b38cfd208745390775b71fc355dbb109/work-planner-ella-m-desktop.png",For Teams,Learn why you should use a work breakdown structure to plan tasks on your next project. Find out how to make one with a step-by-step guide.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How to conduct decision tree analysis in 5 simple steps,https://www.notion.so/blog/decision-tree-analysis,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4xZFumEL8QbFu3Bw0ZBCX7/144b26b917f10c25a2ec5b6229346509/a-simple-decision-tree-machine-learning-weihao-desktop.png",For Teams,Learn what decision tree analysis is and how to visualize the outcomes of your choices. Here’s how to build an effective decision tree.,"https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Why you need to prioritize critical success factors (CSFs),https://www.notion.so/blog/critical-success-factors,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5uOSHNZSqqSBuQea3KhI7U/c290870c4cf1266a70f73c6eacfeba16/track-record-to-success-mythoo-desktop.png",For Teams,"Learn what critical success factors (CSFs) are, the different types, and how to identify them in projects. Find out why you can’t afford to overlook CSFs.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
"What’s product management, and how can you effectively implement it?",https://www.notion.so/blog/what-is-product-management,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/41BvF19Plvh8fKSIug2ubv/aa533467d0611b33851d585b2950b1e6/ultimate-product-management-os-moulshree-desktop.png",For Teams,"Find out what product management is, why it’s important, and how to implement it properly, plus enjoy useful Notion templates to get you started.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/71jMHbWZR9otY6j4aC6rOV/392cbf5a3d0878cbee6fecb97b0a0981/Alyssa_Zacharias.png", Alyssa Zacharias,Marketing
13 working-from-home tips to boost productivity,https://www.notion.so/blog/working-from-home-tips-productivity,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6lC8xrlpdgFfqjVAZbObaX/8e7a5441ea4b90a8cae4e22ee4861dac/productivity-planner-kelsey-s-desktop.png",For Teams,"Learn invaluable working-from-home tips to increase productivity, plus use Notion’s templates to prioritize, organize, and collaborate more efficiently.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
How to accomplish more with SMART goals,https://www.notion.so/blog/smart-goals,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3Y83z8HsfgDPxCXdcb9K6x/297ad8b561ed984c3df71d2ee0f63b69/smart-company-goals-tracker-3-0-tim-edwards-desktop.png",For Teams,"Find out what SMART goals are, how to set them, and why your projects stand to benefit. Check out examples to inspire your goal-setting.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
Handle roadblocks faster with a root cause analysis,https://www.notion.so/blog/root-cause-analysis,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7yS06p8cuH8G8tapIAmed0/f060704b23876b0f982f70d10bbd74b0/Hero.jpg",For Teams,"Learn what a root cause analysis is and how to perform one. Explore the best practices for this process and different methodologies, like the five whys.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/6bNdFpYC7AIDmkCnMLMOOl/21184908580d809c20a21aa813fc954b/Maggie_Gowland_.png",Maggie Gowland,Marketing
Understanding efficiency versus effectiveness for better project work,https://www.notion.so/blog/efficiency-vs-effectiveness,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6pAp7kpo9WxG4meINAyoN6/fd91721b2cfb6267bfd10eb94282dd07/efficiency-essentials-2500-productivity-prompts-julian-digital-edge-desktop.png",For Teams,"Learn the differences between efficiency versus effectiveness, and use Notion’s free templates to aid your team’s efficiency, effectiveness, and success.","https://www.notion.so/cdn-cgi/image/format=auto,width=3840,quality=80/https://images.ctfassets.net/spoqsaf9291f/4BmNQEtWZCZQNlst1COMmt/dd079b11c556c30808b631b202ba0321/Anabelle_Zaluski.png",Anabelle Zaluski,Marketing
How Notion builds partnerships using Notion – and how you can too,https://www.notion.so/blog/how-notion-builds-partnerships-using-notion-and-how-you-can-too,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3sgnvHU8SRUtBIzNqSbEGe/c572bdb4196164d6ebf4d60f6e3a9193/Thumbnail_for_blog.png",For Teams,"Learn how Notion's partnerships team operates, plus three templates you can use to manage your partner programs and launch new partnerships.","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Elizabeth Dlha,Business Development
